second,distance,motion,lightIntensity,occupied,occupied_ml
388,2375.0,0,2.5,1,0
389,2377.0,0,2.5,1,0
390,2378.0,0,2.5,1,0
391,2376.0,0,2.5,1,0
392,2377.0,0,2.5,1,0
393,2378.0,0,2.5,1,0
394,2376.0,0,2.5,1,0
395,2373.0,0,2.5,1,0
396,2374.0,0,2.5,1,0
397,2378.0,0,2.5,1,0
398,2376.0,0,2.5,1,0
399,2373.0,0,2.5,1,0
400,2376.0,0,2.5,1,0
401,2375.0,0,2.5,1,0
402,2373.0,0,2.5,1,0
403,2372.0,0,2.5,1,0
404,2371.0,0,2.5,1,0
405,2370.0,0,2.5,1,0
406,2369.0,0,2.5,1,0
407,2376.0,0,2.5,1,0
408,2376.0,0,2.5,1,0
409,2377.0,0,2.5,1,0
410,2374.0,0,2.5,1,0
411,2371.0,0,2.5,1,0
412,2371.0,0,2.5,1,0
413,2373.0,0,2.5,1,0
414,2371.0,0,2.5,1,0
415,2369.0,0,2.5,1,0
416,2372.0,0,2.5,1,0
417,2379.0,0,2.5,1,0
418,2374.0,1,2.5,1,0
419,2372.0,0,2.5,1,0
420,2372.0,0,2.5,1,0
421,2375.0,0,2.5,1,0
422,2370.0,0,2.5,1,0
423,2378.0,0,2.5,1,0
424,2376.0,0,2.5,1,0
425,2380.0,0,2.5,1,0
426,2379.0,0,2.5,1,0
427,2377.0,0,2.5,1,0
428,2373.0,0,2.5,1,0
429,2377.0,0,2.5,1,0
430,2379.0,0,2.5,1,0
431,2374.0,0,2.5,1,0
432,2377.0,0,2.5,1,0
433,2372.0,0,2.5,1,0
434,2376.0,0,2.5,1,0
435,2379.0,0,2.5,1,0
436,2379.0,1,2.5,1,0
437,2371.0,1,2.5,1,0
438,2373.0,0,2.5,1,0
439,2377.0,0,2.5,1,0
440,2379.0,0,2.5,1,0
441,2378.0,0,2.5,1,0
442,2380.0,0,2.5,1,0
443,2379.0,0,2.5,1,0
444,2379.0,0,2.5,1,0
445,2380.0,0,2.5,1,0
446,2379.0,0,2.5,1,0
447,2379.0,0,2.5,1,0
448,2379.0,0,2.5,1,0
449,2378.0,0,2.5,1,0
450,2378.0,0,2.5,1,0
451,2375.0,0,2.5,1,0
452,2378.0,0,2.5,1,0
453,2372.0,0,2.5,1,0
454,2376.0,0,2.5,1,0
455,2374.0,0,2.5,1,0
456,2376.0,0,2.5,1,0
457,2371.0,0,2.5,1,0
458,2371.0,0,2.5,1,0
459,2370.0,0,2.5,1,0
460,2369.0,0,2.5,1,0
461,2368.0,0,2.5,1,0
462,2369.0,0,2.5,1,0
463,2369.0,0,2.5,1,0
464,2368.0,0,2.5,1,0
465,2367.0,0,2.5,1,0
466,2368.0,0,2.5,1,0
