277 -> distance: 129.00, motion: 0, lightIntensity: 4.17, occupied: 1
278 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
279 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
280 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
281 -> distance: 280.00, motion: 0, lightIntensity: 4.17, occupied: 1
282 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
283 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
284 -> distance: 338.00, motion: 0, lightIntensity: 4.17, occupied: 1
285 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
286 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
287 -> distance: 337.00, motion: 0, lightIntensity: 4.17, occupied: 1
288 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
289 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
290 -> distance: 281.00, motion: 0, lightIntensity: 4.17, occupied: 1
291 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
292 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
293 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
294 -> distance: 283.00, motion: 0, lightIntensity: 4.17, occupied: 1
295 -> distance: 284.00, motion: 0, lightIntensity: 4.17, occupied: 1
297 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
298 -> distance: 282.00, motion: 0, lightIntensity: 4.17, occupied: 1
299 -> distance: 284.00, motion: 0, lightIntensity: 3.33, occupied: 1
300 -> distance: 336.00, motion: 0, lightIntensity: 4.17, occupied: 1
301 -> distance: 281.00, motion: 0, lightIntensity: 3.33, occupied: 1
302 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
303 -> distance: 338.00, motion: 0, lightIntensity: 3.33, occupied: 1
304 -> distance: 130.00, motion: 0, lightIntensity: 3.33, occupied: 1
305 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
306 -> distance: 284.00, motion: 0, lightIntensity: 3.33, occupied: 1
307 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
308 -> distance: 129.00, motion: 0, lightIntensity: 3.33, occupied: 1
309 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
310 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
311 -> distance: 279.00, motion: 0, lightIntensity: 3.33, occupied: 1
312 -> distance: 280.00, motion: 0, lightIntensity: 3.33, occupied: 1
313 -> distance: 337.00, motion: 0, lightIntensity: 3.33, occupied: 1
314 -> distance: 283.00, motion: 0, lightIntensity: 3.33, occupied: 1
315 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
316 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
317 -> distance: 282.00, motion: 0, lightIntensity: 3.33, occupied: 1
318 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
319 -> distance: 283.00, motion: 0, lightIntensity: 2.50, occupied: 1
320 -> distance: 285.00, motion: 0, lightIntensity: 2.50, occupied: 1
321 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
322 -> distance: 338.00, motion: 0, lightIntensity: 2.50, occupied: 1
323 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
325 -> distance: 337.00, motion: 0, lightIntensity: 2.50, occupied: 1
326 -> distance: 336.00, motion: 0, lightIntensity: 2.50, occupied: 1
327 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
328 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
329 -> distance: 284.00, motion: 0, lightIntensity: 2.50, occupied: 1
330 -> distance: 283.00, motion: 0, lightIntensity: 2.50, occupied: 1
331 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
332 -> distance: 279.00, motion: 0, lightIntensity: 2.50, occupied: 1
333 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
334 -> distance: 186.00, motion: 0, lightIntensity: 2.50, occupied: 1
335 -> distance: 337.00, motion: 0, lightIntensity: 2.50, occupied: 1
336 -> distance: 338.00, motion: 0, lightIntensity: 2.50, occupied: 1
337 -> distance: 284.00, motion: 0, lightIntensity: 2.50, occupied: 1
338 -> distance: 284.00, motion: 0, lightIntensity: 2.50, occupied: 1
339 -> distance: 283.00, motion: 0, lightIntensity: 2.50, occupied: 1
340 -> distance: 283.00, motion: 0, lightIntensity: 2.50, occupied: 1
341 -> distance: 337.00, motion: 0, lightIntensity: 2.50, occupied: 1
342 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
343 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
344 -> distance: 281.00, motion: 0, lightIntensity: 2.50, occupied: 1
345 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
346 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
347 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
348 -> distance: 283.00, motion: 0, lightIntensity: 2.50, occupied: 1
349 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
350 -> distance: 284.00, motion: 0, lightIntensity: 2.50, occupied: 1
351 -> distance: 282.00, motion: 0, lightIntensity: 2.50, occupied: 1
352 -> distance: 281.00, motion: 0, lightIntensity: 2.50, occupied: 1
