second,distance,motion,lightIntensity,occupied,occupied_note
400,2344.0,0,8.33,1,1
401,345.0,0,8.33,1,1
402,2343.0,0,8.33,1,1
403,348.0,0,8.33,1,1
404,2343.0,0,8.33,1,1
405,2344.0,0,8.33,1,1
406,346.0,0,8.33,1,1
407,346.0,0,8.33,1,1
408,2344.0,0,8.33,1,1
409,2344.0,0,8.33,1,1
410,2344.0,0,8.33,1,1
411,2344.0,0,8.33,1,1
412,2344.0,0,8.33,1,1
413,2344.0,0,8.33,1,1
414,2344.0,0,8.33,1,1
415,2344.0,0,8.33,1,1
416,2344.0,0,8.33,1,1
417,2344.0,0,8.33,1,1
418,2344.0,0,8.33,1,1
419,2344.0,0,8.33,1,1
420,2344.0,0,8.33,1,1
421,2344.0,0,8.33,1,1
422,2344.0,0,8.33,1,1
423,2344.0,0,8.33,1,1
424,2344.0,0,8.33,1,1
425,2344.0,0,8.33,1,1
426,2344.0,0,8.33,1,1
427,2344.0,0,8.33,1,1
428,2344.0,0,8.33,1,1
429,2344.0,0,8.33,1,1
430,2344.0,0,8.33,1,1
431,2344.0,0,8.33,1,1
432,2344.0,0,8.33,1,1
433,2344.0,0,8.33,1,1
434,2344.0,0,8.33,1,1
435,2344.0,0,8.33,1,1
436,2344.0,0,8.33,1,1
437,2344.0,0,8.33,1,1
438,2344.0,0,8.33,1,1
439,2344.0,0,8.33,1,1
440,2344.0,0,8.33,1,1
441,2344.0,0,8.33,1,1
442,2344.0,0,8.33,1,1
443,2344.0,0,8.33,1,1
444,2344.0,0,8.33,1,1
445,2344.0,0,8.33,1,1
446,2344.0,0,8.33,1,1
447,2344.0,0,8.33,1,1
448,2344.0,0,8.33,1,1
449,2344.0,0,8.33,1,1
450,2344.0,0,8.33,1,1
451,2344.0,0,8.33,1,1
452,2344.0,0,8.33,1,1
453,2344.0,0,8.33,1,1
454,2344.0,0,8.33,1,1
455,2344.0,0,8.33,1,1
456,2344.0,0,8.33,1,1
457,2344.0,0,8.33,1,1
458,2344.0,0,8.33,1,1
459,2344.0,0,8.33,1,1
460,2344.0,0,8.33,1,1
461,2344.0,0,8.33,1,1
462,2344.0,0,8.33,1,1
463,2344.0,0,8.33,1,1
464,2344.0,0,8.33,1,1
465,2344.0,0,8.33,1,1
466,346.0,0,8.33,1,1
467,346.0,0,8.33,1,1
468,2340.0,0,8.33,1,1
469,346.0,0,8.33,1,1
470,345.0,0,8.33,1,1
471,346.0,0,8.33,1,1
472,345.0,0,8.33,1,1
473,345.0,0,8.33,1,1
474,345.0,0,8.33,1,1
475,344.0,0,8.33,1,1
476,345.0,0,8.33,1,1
477,345.0,0,8.33,1,1
478,346.0,0,8.33,1,1
479,345.0,0,8.33,1,1
480,346.0,0,8.33,1,1
481,2331.0,0,8.33,1,1
482,346.0,0,8.33,1,1
483,2330.0,0,8.33,1,1
484,346.0,0,8.33,1,1
485,345.0,0,8.33,1,1
486,346.0,0,8.33,1,1
