second,distance,motion,lightIntensity,occupied
775,334.00,0,0.83,1
776,334.00,0,0.83,1
777,336.00,0,0.83,1
778,333.00,0,0.83,1
779,333.00,0,0.83,1
781,336.00,0,0.83,1
782,334.00,0,0.83,1
783,2398.00,0,0.83,1
784,2397.00,0,0.83,1
785,334.00,0,0.83,1
786,2403.00,0,0.83,1
787,333.00,0,0.83,1
788,334.00,0,0.83,1
789,335.00,0,0.83,1
790,335.00,0,0.83,1
791,334.00,0,0.83,1
792,334.00,0,0.83,1
793,335.00,0,0.83,1
794,2404.00,0,0.83,1
795,334.00,0,0.83,1
796,333.00,0,0.83,1
797,335.00,0,0.83,1
798,335.00,0,0.83,1
799,333.00,0,0.83,1
800,335.00,0,0.83,1
801,2397.00,0,0.83,1
802,333.00,0,0.83,1
803,334.00,0,0.83,1
804,334.00,0,0.83,1
805,335.00,0,0.83,1
807,336.00,0,0.83,1
808,2398.00,0,0.83,1
809,2398.00,0,0.83,1
810,333.00,0,0.83,1
811,335.00,0,0.83,1
812,333.00,0,0.83,1
813,333.00,0,0.83,1
814,333.00,0,0.83,1
815,336.00,0,0.83,1
816,334.00,0,0.83,1
817,334.00,0,0.83,1
818,333.00,0,0.83,1
819,334.00,0,0.83,1
820,336.00,0,0.83,1
821,334.00,0,0.83,1
822,336.00,0,0.83,1
823,333.00,0,0.83,1
824,336.00,0,0.83,1
825,333.00,0,0.83,1
826,335.00,0,0.83,1
827,333.00,0,0.83,1
828,334.00,0,0.83,1
829,333.00,0,0.83,1
830,333.00,0,0.83,1
831,334.00,0,0.83,1
833,335.00,0,0.83,1
834,333.00,0,0.83,1
835,333.00,0,0.83,1
836,333.00,0,0.83,1
837,333.00,0,0.83,1
838,333.00,0,0.83,1
839,336.00,0,0.83,1
840,333.00,0,0.83,1
841,334.00,0,0.83,1
842,333.00,0,0.83,1
843,333.00,0,0.83,1
844,2399.00,0,0.83,1
845,2399.00,0,0.83,1
846,333.00,0,0.83,1
847,334.00,0,0.83,1
848,334.00,0,0.83,1
849,333.00,0,0.83,1
850,337.00,0,0.83,1
851,334.00,0,0.83,1
852,334.00,0,0.83,1
853,334.00,0,0.83,1
854,336.00,0,0.83,1
855,333.00,0,0.83,1
856,333.00,0,0.83,1
857,335.00,0,0.83,1
859,334.00,0,0.83,1
860,333.00,0,0.83,1
861,334.00,0,0.83,1
862,335.00,0,0.83,1
863,334.00,0,0.83,1
864,333.00,0,0.83,1
865,333.00,0,0.83,1
866,335.00,0,0.83,1
867,333.00,0,0.83,1
868,334.00,0,0.83,1
869,333.00,0,0.83,1
870,333.00,0,0.83,1
871,334.00,0,0.83,1
872,335.00,0,0.83,1
873,333.00,0,0.83,1
874,336.00,0,0.83,1
875,2399.00,0,0.83,1
876,335.00,0,0.83,1
877,334.00,0,0.83,1
878,333.00,0,0.83,1
879,335.00,0,0.83,1
880,334.00,0,0.83,1
881,334.00,0,0.83,1
882,334.00,0,0.83,1
884,334.00,0,0.83,1
885,336.00,0,0.83,1
886,336.00,0,0.83,1
887,335.00,0,0.83,1
888,335.00,0,0.83,1
889,333.00,0,0.83,1
890,333.00,0,0.83,1
891,333.00,0,0.83,1
892,334.00,0,0.83,1
893,336.00,0,0.83,1
894,333.00,0,0.83,1
895,333.00,0,0.83,1
896,334.00,0,0.83,1
897,334.00,0,0.83,1
898,333.00,0,0.83,1
899,334.00,0,0.83,1
900,334.00,0,0.83,1
901,335.00,0,0.83,1
902,334.00,0,0.83,1
903,333.00,0,0.83,1
904,2402.00,0,0.83,1
905,333.00,0,0.83,1
906,335.00,0,0.83,1
907,333.00,0,0.83,1
908,334.00,0,0.83,1
909,334.00,0,0.83,1
911,333.00,0,0.83,1
912,333.00,0,0.83,1
913,337.00,0,0.83,1
914,333.00,0,0.83,1
915,335.00,0,0.83,1
916,334.00,0,0.83,1
917,2403.00,0,0.83,1
918,336.00,0,0.83,1
919,334.00,0,0.83,1
920,334.00,0,0.83,1
921,334.00,0,0.83,1
922,333.00,0,0.83,1
923,335.00,0,0.83,1
924,334.00,0,0.83,1
925,2403.00,0,0.83,1
926,334.00,0,0.83,1
927,335.00,0,0.83,1
928,334.00,0,0.83,1
929,335.00,0,0.83,1
930,333.00,0,0.83,1
931,334.00,0,0.83,1
932,335.00,0,0.83,1
933,336.00,0,0.83,1
934,333.00,0,0.83,1
935,2398.00,0,0.83,1
937,336.00,0,0.83,1
938,2398.00,0,0.83,1
939,335.00,0,0.83,1
940,333.00,0,0.83,1
941,334.00,0,0.83,1
942,335.00,0,0.83,1
943,334.00,0,0.83,1
944,335.00,0,0.83,1
945,336.00,0,0.83,1
946,334.00,0,0.83,1
947,335.00,0,0.83,1
948,333.00,0,0.83,1
949,334.00,0,0.83,1
950,334.00,0,0.83,1
951,333.00,0,0.83,1
952,335.00,0,0.83,1
953,334.00,0,0.83,1
954,335.00,0,0.83,1
955,335.00,0,0.83,1
956,2401.00,0,0.83,1
957,2401.00,0,0.83,1
958,336.00,0,0.83,1
959,334.00,0,0.83,1
960,333.00,0,0.83,1
961,333.00,0,0.83,1
962,334.00,0,0.83,1
964,334.00,0,0.83,1
965,335.00,0,0.83,1
966,333.00,0,0.83,1
967,335.00,0,0.83,1
968,2401.00,0,0.83,1
969,336.00,0,0.83,1
970,334.00,0,0.83,1
971,2401.00,0,0.83,1
972,2401.00,0,0.83,1
973,333.00,0,0.83,1
974,333.00,0,0.83,1
975,333.00,0,0.83,1
976,334.00,0,0.83,1
977,334.00,0,0.83,1
978,334.00,0,0.83,1
979,333.00,0,0.83,1
980,335.00,0,0.83,1
981,333.00,0,0.83,1
982,335.00,0,0.83,1
983,2401.00,0,0.83,1
984,335.00,0,0.83,1
985,2401.00,0,0.83,1
986,335.00,0,0.83,1
987,2401.00,0,0.83,1
988,336.00,0,0.83,1
990,334.00,0,0.83,1
991,333.00,0,0.83,1
992,335.00,0,0.83,1
993,334.00,0,0.83,1
994,336.00,0,0.83,1
995,333.00,0,0.83,1
996,334.00,0,0.83,1
997,333.00,0,0.83,1
998,2401.00,0,0.83,1
999,333.00,0,0.83,1
1000,333.00,0,0.83,1
1001,335.00,0,0.83,1
1002,333.00,0,0.83,1
1003,333.00,0,0.83,1
1004,333.00,0,0.83,1
1005,333.00,0,0.83,1
1006,334.00,0,0.83,1
1007,337.00,0,0.83,1
1008,333.00,0,0.83,1
1009,333.00,0,0.83,1
1010,333.00,0,0.83,1
1011,333.00,0,0.83,1
1012,334.00,0,0.83,1
1013,333.00,0,0.83,1
1014,333.00,0,0.83,1
1015,334.00,0,0.83,1
1017,336.00,0,0.83,1
1018,333.00,0,0.83,1
1019,333.00,0,0.83,1
1020,333.00,0,0.83,1
1021,333.00,0,0.83,1
1022,333.00,0,0.83,1
1023,334.00,0,0.83,1
1024,334.00,0,0.83,1
1025,334.00,0,0.83,1
1026,334.00,0,0.83,1
1027,335.00,0,0.83,1
1028,335.00,0,0.83,1
1029,333.00,0,0.83,1
1030,333.00,0,0.83,1
1031,334.00,0,0.83,1
1032,333.00,0,0.83,1
1033,333.00,0,0.83,1
1034,333.00,0,0.83,1
1035,334.00,0,0.83,1
1036,333.00,0,0.83,1
1037,333.00,0,0.83,1
1038,2400.00,0,0.83,1
1039,335.00,0,0.83,1
1040,334.00,0,0.83,1
