second,distance,motion,lightIntensity,occupied,occupied_ml
649,2394.00,0,2.50,1,0
650,2394.00,0,2.50,1,0
651,2394.00,0,2.50,1,0
652,2394.00,0,2.50,1,0
653,2394.00,0,2.50,1,0
654,2394.00,0,2.50,1,0
655,2394.00,0,2.50,1,0
656,2394.00,0,2.50,1,0
657,2394.00,0,2.50,1,0
658,2394.00,0,2.50,1,0
659,2394.00,0,2.50,1,0
660,2394.00,0,2.50,1,0
661,2394.00,0,2.50,1,0
662,2394.00,0,2.50,1,0
664,2394.00,0,2.50,1,0
665,2394.00,0,2.50,1,0
666,2371.00,0,2.50,1,0
667,2373.00,0,2.50,1,0
668,2376.00,0,2.50,1,0
669,2378.00,0,2.50,1,0
670,2377.00,0,2.50,1,0
671,2378.00,0,2.50,1,0
672,2377.00,0,2.50,1,0
673,2377.00,0,2.50,1,0
674,2378.00,0,2.50,1,0
675,2378.00,0,2.50,1,0
676,2378.00,0,2.50,1,0
677,2377.00,0,2.50,1,0
678,2377.00,0,2.50,1,0
679,2378.00,0,2.50,1,0
680,2378.00,0,2.50,1,0
681,2378.00,0,2.50,1,0
682,2378.00,0,2.50,1,0
683,2376.00,0,2.50,1,0
684,2376.00,0,2.50,1,0
685,2375.00,0,2.50,1,0
686,2373.00,0,2.50,1,0
687,2373.00,0,2.50,1,0
688,2372.00,0,2.50,1,0
689,2372.00,0,2.50,1,0
690,2372.00,0,2.50,1,0
691,2373.00,0,2.50,1,0
692,2375.00,0,2.50,1,0
693,2375.00,0,2.50,1,0
694,2373.00,0,2.50,1,0
695,2375.00,0,2.50,1,0
696,2375.00,0,2.50,1,0
697,2374.00,0,2.50,1,0
698,2375.00,0,2.50,1,0
699,2377.00,0,2.50,1,0
700,2376.00,0,2.50,1,0
701,2378.00,0,2.50,1,0
702,2378.00,0,2.50,1,0
703,2378.00,0,2.50,1,0
704,2377.00,0,2.50,1,0
705,2375.00,0,2.50,1,0
706,2376.00,0,2.50,1,0
707,2376.00,0,2.50,1,0
708,2377.00,0,2.50,1,0
709,2376.00,0,2.50,1,0
710,2376.00,0,2.50,1,0
711,2376.00,0,2.50,1,0
712,2376.00,0,2.50,1,0
713,2373.00,0,2.50,1,0
714,2371.00,0,2.50,1,0
715,2376.00,0,2.50,1,0
716,2378.00,0,2.50,1,0
717,2376.00,0,2.50,1,0
718,2377.00,1,2.50,1,0
719,2374.00,0,2.50,1,0
720,2376.00,0,2.50,1,0
721,2375.00,0,2.50,1,0
722,2376.00,0,2.50,1,0
