second,distance,motion,lightIntensity,occupied,occupied_note
449,103.0,0,7.5,1,1
450,194.0,0,7.5,1,1
451,87.0,0,7.5,1,1
452,177.0,0,7.5,1,1
453,124.0,0,7.5,1,1
454,95.0,0,7.5,0,1
455,137.0,0,7.5,0,1
456,112.0,0,7.5,0,1
457,83.0,0,7.5,0,1
458,146.0,0,7.5,0,1
459,119.0,0,7.5,0,1
460,162.0,0,7.5,0,1
461,106.0,0,7.5,0,1
462,118.0,0,7.5,0,1
463,86.0,0,7.5,0,1
464,92.0,0,7.5,1,1
465,174.0,0,7.5,1,1
466,95.0,0,7.5,1,1
467,77.0,0,7.5,0,1
468,118.0,0,7.5,0,1
469,84.0,0,7.5,0,1
470,87.0,0,7.5,0,1
471,101.0,0,7.5,0,1
472,115.0,0,7.5,0,1
473,172.0,0,7.5,0,1
474,119.0,0,7.5,0,1
475,90.0,0,7.5,0,1
476,81.0,0,7.5,1,1
477,85.0,0,7.5,1,1
478,129.0,0,7.5,1,1
479,243.0,0,7.5,0,1
480,245.0,0,7.5,0,1
481,244.0,0,7.5,0,1
482,188.0,0,7.5,0,1
483,243.0,0,7.5,0,1
484,244.0,0,7.5,0,1
485,190.0,0,7.5,0,1
486,244.0,0,7.5,0,1
487,189.0,0,7.5,0,1
488,245.0,0,7.5,0,1
489,188.0,0,7.5,0,1
490,188.0,0,7.5,0,1
491,245.0,0,7.5,0,1
492,190.0,0,7.5,0,1
493,243.0,0,7.5,0,1
494,244.0,0,7.5,0,1
495,187.0,0,7.5,0,1
496,188.0,0,7.5,0,1
497,243.0,0,7.5,0,1
498,245.0,0,7.5,0,1
499,243.0,0,7.5,0,1
500,244.0,0,7.5,0,1
501,191.0,0,7.5,0,1
502,245.0,0,7.5,0,1
503,189.0,0,7.5,0,1
504,244.0,0,7.5,0,1
505,225.0,0,7.5,0,1
506,244.0,0,7.5,0,1
507,224.0,0,7.5,0,1
508,244.0,0,7.5,0,1
509,189.0,0,7.5,0,1
510,188.0,0,7.5,0,1
511,244.0,0,7.5,0,1
512,244.0,0,7.5,0,1
513,186.0,0,7.5,0,1
514,187.0,0,7.5,0,1
515,243.0,0,7.5,0,1
516,190.0,0,7.5,0,1
517,243.0,0,7.5,0,1
518,188.0,0,7.5,0,1
519,244.0,0,7.5,0,1
520,243.0,0,7.5,0,1
521,189.0,0,7.5,0,1
522,185.0,0,7.5,0,1
523,243.0,0,7.5,0,1
524,244.0,0,7.5,0,1
525,245.0,0,7.5,0,1
526,244.0,0,7.5,0,1
527,244.0,0,7.5,0,1
528,189.0,0,7.5,0,1
529,243.0,0,7.5,0,1
530,245.0,0,7.5,0,1
531,245.0,0,7.5,0,1
532,244.0,0,7.5,0,1
533,244.0,0,7.5,0,1
534,244.0,0,7.5,0,1
535,187.0,0,7.5,0,1
536,246.0,0,7.5,0,1
537,243.0,0,7.5,0,1
538,188.0,0,7.5,0,1
539,191.0,0,7.5,0,1
540,244.0,0,7.5,0,1
541,244.0,0,7.5,0,1
542,191.0,0,7.5,0,1
543,190.0,0,7.5,0,1
544,191.0,0,7.5,0,1
545,243.0,0,7.5,0,1
546,188.0,0,7.5,0,1
547,245.0,0,7.5,0,1
548,246.0,0,7.5,0,1
549,245.0,0,7.5,0,1
550,188.0,0,7.5,0,1
551,244.0,0,7.5,0,1
552,185.0,0,7.5,0,1
553,129.0,0,7.5,0,1
554,131.0,0,7.5,0,1
555,244.0,0,7.5,0,1
556,244.0,0,7.5,0,1
557,221.0,0,7.5,0,1
558,186.0,0,7.5,0,1
559,187.0,0,7.5,0,1
560,187.0,0,7.5,0,1
561,245.0,0,7.5,0,1
562,244.0,0,7.5,0,1
563,245.0,0,7.5,0,1
564,245.0,0,7.5,0,1
565,245.0,0,7.5,0,1
566,244.0,0,7.5,0,1
567,189.0,0,7.5,0,1
568,188.0,0,7.5,0,1
569,188.0,0,7.5,0,1
570,243.0,0,7.5,0,1
571,243.0,0,7.5,0,1
572,188.0,0,7.5,0,1
573,187.0,0,7.5,0,1
574,244.0,0,7.5,0,1
575,190.0,0,7.5,0,1
576,189.0,0,7.5,0,1
577,243.0,0,7.5,0,1
578,189.0,0,7.5,0,1
579,244.0,0,7.5,0,1
580,243.0,0,7.5,0,1
581,189.0,0,7.5,0,1
582,244.0,0,7.5,0,1
583,189.0,0,7.5,0,1
584,247.0,0,7.5,0,1
585,244.0,0,7.5,0,1
586,245.0,0,7.5,0,1
587,188.0,0,7.5,0,1
588,245.0,0,7.5,0,1
589,189.0,0,7.5,0,1
590,245.0,0,7.5,0,1
591,244.0,0,7.5,0,1
592,190.0,0,7.5,0,1
593,189.0,0,7.5,0,1
594,188.0,0,7.5,0,1
595,192.0,0,7.5,0,1
596,243.0,0,7.5,0,1
597,244.0,0,7.5,0,1
598,188.0,0,7.5,0,1
599,245.0,0,7.5,0,1
600,190.0,0,7.5,0,1
601,245.0,0,7.5,0,1
602,245.0,0,7.5,0,1
603,246.0,0,7.5,0,1
604,245.0,0,7.5,0,1
605,244.0,0,7.5,0,1
606,244.0,0,7.5,0,1
607,243.0,0,7.5,0,1
608,244.0,0,7.5,0,1
609,190.0,0,7.5,0,1
610,187.0,0,7.5,0,1
611,244.0,0,7.5,0,1
612,244.0,0,7.5,0,1
613,244.0,0,7.5,0,1
614,244.0,0,7.5,0,1
615,244.0,0,7.5,0,1
616,191.0,0,7.5,0,1
617,187.0,0,7.5,0,1
618,244.0,0,7.5,0,1
619,243.0,0,7.5,0,1
620,190.0,0,7.5,0,1
621,187.0,0,7.5,0,1
622,243.0,0,7.5,0,1
623,244.0,0,7.5,0,1
624,245.0,0,7.5,0,1
625,243.0,0,7.5,0,1
626,189.0,0,7.5,0,1
627,245.0,0,7.5,0,1
628,189.0,0,7.5,0,1
629,243.0,0,7.5,0,1
630,243.0,0,7.5,0,1
631,190.0,0,7.5,0,1
632,244.0,0,7.5,0,1
633,188.0,0,7.5,0,1
634,189.0,0,7.5,0,1
635,243.0,0,7.5,0,1
636,246.0,0,7.5,0,1
637,187.0,0,7.5,0,1
638,243.0,0,7.5,0,1
639,243.0,0,7.5,0,1
640,243.0,0,7.5,0,1
641,187.0,0,7.5,0,1
642,189.0,0,7.5,0,1
643,189.0,0,7.5,0,1
644,243.0,0,7.5,0,1
645,189.0,0,7.5,0,1
646,187.0,0,7.5,0,1
647,245.0,0,7.5,0,1
648,188.0,0,7.5,0,1
649,189.0,0,7.5,0,1
650,188.0,0,7.5,0,1
651,190.0,0,7.5,0,1
652,189.0,0,7.5,0,1
653,185.0,0,7.5,0,1
654,244.0,0,7.5,0,1
655,244.0,0,7.5,0,1
656,186.0,0,7.5,0,1
657,244.0,0,7.5,0,1
658,189.0,0,7.5,0,1
659,188.0,0,7.5,0,1
660,244.0,0,7.5,0,1
661,187.0,0,7.5,0,1
662,187.0,0,7.5,0,1
663,189.0,0,7.5,0,1
664,244.0,0,7.5,0,1
665,186.0,0,7.5,0,1
666,187.0,0,7.5,0,1
667,244.0,0,7.5,0,1
668,188.0,0,7.5,0,1
669,188.0,0,7.5,0,1
670,187.0,0,7.5,0,1
671,187.0,0,7.5,0,1
672,244.0,0,7.5,0,1
673,244.0,0,7.5,0,1
674,243.0,0,7.5,0,1
675,243.0,0,7.5,0,1
676,189.0,0,7.5,0,1
677,187.0,0,7.5,0,1
678,244.0,0,7.5,0,1
679,188.0,0,7.5,0,1
680,186.0,0,7.5,0,1
681,185.0,0,7.5,0,1
682,186.0,0,7.5,0,1
683,245.0,0,7.5,0,1
684,244.0,0,7.5,0,1
685,189.0,0,7.5,0,1
686,190.0,0,7.5,0,1
687,243.0,0,7.5,0,1
688,244.0,0,7.5,0,1
689,245.0,0,7.5,0,1
690,189.0,0,7.5,0,1
691,189.0,0,7.5,0,1
692,191.0,0,7.5,0,1
693,244.0,0,7.5,0,1
694,243.0,0,7.5,0,1
695,243.0,0,7.5,0,1
696,243.0,0,7.5,0,1
697,189.0,0,7.5,0,1
698,243.0,0,7.5,0,1
699,244.0,0,7.5,0,1
700,188.0,0,7.5,0,1
701,243.0,0,7.5,0,1
702,244.0,0,7.5,0,1
703,244.0,0,7.5,0,1
704,187.0,0,7.5,0,1
705,243.0,0,7.5,0,1
706,243.0,0,7.5,0,1
707,189.0,0,7.5,0,1
708,194.0,0,7.5,0,1
709,189.0,0,7.5,0,1
710,190.0,0,7.5,0,1
711,186.0,0,7.5,0,1
712,188.0,0,7.5,0,1
713,243.0,0,7.5,0,1
714,244.0,0,7.5,0,1
715,243.0,0,7.5,0,1
716,189.0,0,7.5,0,1
717,189.0,0,7.5,0,1
718,244.0,0,7.5,0,1
719,243.0,0,7.5,0,1
720,243.0,0,7.5,0,1
721,186.0,0,7.5,0,1
722,187.0,0,7.5,0,1
723,188.0,0,7.5,0,1
724,245.0,0,7.5,0,1
725,243.0,0,7.5,0,1
726,189.0,0,7.5,0,1
727,188.0,0,7.5,0,1
728,189.0,0,7.5,0,1
729,187.0,0,7.5,0,1
730,243.0,0,7.5,0,1
731,243.0,0,7.5,0,1
732,194.0,0,7.5,0,1
733,187.0,0,7.5,0,1
734,245.0,0,7.5,0,1
735,188.0,0,7.5,0,1
736,243.0,0,7.5,0,1
737,243.0,0,7.5,0,1
738,187.0,0,7.5,0,1
739,187.0,0,7.5,0,1
740,188.0,0,7.5,0,1
741,191.0,0,7.5,0,1
742,244.0,0,7.5,0,1
743,192.0,0,7.5,0,1
744,187.0,0,7.5,0,1
745,243.0,0,7.5,0,1
746,245.0,0,7.5,0,1
747,189.0,0,7.5,0,1
748,244.0,0,7.5,0,1
749,189.0,0,7.5,0,1
750,188.0,0,7.5,0,1
751,244.0,0,7.5,0,1
752,244.0,0,7.5,0,1
753,244.0,0,7.5,0,1
754,189.0,0,7.5,0,1
755,244.0,0,7.5,0,1
756,243.0,0,7.5,0,1
757,245.0,0,7.5,0,1
758,187.0,0,7.5,0,1
759,244.0,0,7.5,0,1
760,188.0,0,7.5,0,1
761,188.0,0,7.5,0,1
762,189.0,0,7.5,0,1
763,187.0,0,7.5,0,1
764,187.0,0,7.5,0,1
765,224.0,0,7.5,0,1
766,190.0,0,7.5,0,1
767,244.0,0,7.5,0,1
768,243.0,0,7.5,0,1
769,187.0,0,7.5,0,1
770,190.0,0,7.5,0,1
771,243.0,0,7.5,0,1
772,243.0,0,7.5,0,1
773,188.0,0,7.5,0,1
774,245.0,0,7.5,0,1
775,189.0,0,7.5,0,1
776,194.0,0,7.5,0,1
777,187.0,0,7.5,0,1
778,243.0,0,7.5,0,1
779,188.0,0,7.5,0,1
780,245.0,0,6.67,0,1
781,242.0,1,6.67,0,1
782,244.0,0,6.67,0,1
783,187.0,0,7.5,0,1
784,176.0,0,6.67,0,1
785,185.0,0,6.67,0,1
786,139.0,0,6.67,0,1
787,135.0,1,6.67,0,1
788,141.0,0,6.67,0,1
789,74.0,0,7.5,0,1
790,122.0,0,6.67,0,1
791,54.0,1,6.67,0,1
792,125.0,0,6.67,0,1
793,251.0,0,7.5,0,1
794,252.0,0,7.5,0,1
795,84.0,1,7.5,0,1
796,87.0,1,7.5,0,1
797,86.0,0,7.5,0,1
798,86.0,0,7.5,0,1
799,123.0,0,7.5,0,1
800,252.0,0,7.5,0,1
801,180.0,0,7.5,0,1
802,88.0,0,7.5,0,1
803,252.0,0,7.5,0,1
804,245.0,0,7.5,0,1
805,244.0,0,7.5,0,1
806,192.0,0,7.5,0,1
807,253.0,0,7.5,0,1
